dateff,mktrf,smb,hml,rf,umd
19961231,-0.017000,0.031700,0.013200,0.00460,0.006300
19970131,0.049900,-0.019400,-0.014600,0.00450,0.019600
19970228,-0.004900,-0.032000,0.056900,0.00390,-0.021300
19970331,-0.050300,-0.003500,0.034000,0.00430,0.009000
19970430,0.040400,-0.057800,0.000700,0.00430,0.048400
19970530,0.067400,0.051900,-0.041200,0.00490,-0.051700
19970630,0.041000,0.012400,0.015900,0.00370,0.026000
19970731,0.073300,-0.027300,0.002900,0.00430,0.037900
19970829,-0.041500,0.073100,0.012000,0.00410,-0.025600
19970930,0.053500,0.025300,0.003800,0.00440,0.014700
19971031,-0.038000,-0.007700,0.022500,0.00420,-0.005700
19971128,0.029800,-0.051300,0.011900,0.00390,0.003300
19971231,0.013200,-0.024700,0.038600,0.00480,0.039800
19980130,0.001500,-0.010600,-0.015900,0.00430,0.001400
19980227,0.070400,0.003400,-0.008500,0.00390,-0.011200
19980331,0.047600,-0.011100,0.014100,0.00390,0.021500
19980430,0.007300,0.000200,0.009000,0.00430,0.007400
19980529,-0.030700,-0.033500,0.034000,0.00400,0.018200
19980630,0.031800,-0.032300,-0.019600,0.00410,0.072800
19980731,-0.024600,-0.049100,-0.017600,0.00400,0.037300
19980831,-0.160800,-0.056800,0.036000,0.00430,0.018400
19980930,0.061500,0.001000,-0.033700,0.00460,-0.008100
19981030,0.071300,-0.031200,-0.022900,0.00320,-0.053700
19981130,0.061000,0.012000,-0.032300,0.00310,0.012000
19981231,0.061600,-0.005100,-0.041800,0.00380,0.089200
19990129,0.035000,0.007800,-0.046200,0.00350,0.030300
19990226,-0.040800,-0.060600,0.018800,0.00350,-0.001000
19990331,0.034500,-0.037700,-0.027700,0.00430,-0.012700
19990430,0.043300,0.039500,0.024100,0.00370,-0.090400
19990528,-0.024600,0.033700,0.023000,0.00340,-0.051900
19990630,0.047700,0.031400,-0.032700,0.00400,0.050600
19990730,-0.034900,0.026000,-0.004200,0.00380,0.016600
19990831,-0.013800,-0.009400,-0.018400,0.00390,0.031200
19990930,-0.027900,0.034400,-0.034800,0.00390,0.064700
19991029,0.061200,-0.066100,-0.033700,0.00390,0.055000
19991130,0.033700,0.072200,-0.061600,0.00360,0.056400
19991231,0.077200,0.069900,-0.083200,0.00440,0.132200
20000131,-0.047400,0.057900,-0.018900,0.00410,0.019200
20000229,0.024500,0.214800,-0.098100,0.00430,0.182000
20000331,0.052000,-0.172900,0.082300,0.00470,-0.068300
20000428,-0.064000,-0.066300,0.072500,0.00460,-0.083900
